"","date","state","bor","hosp_covid","hosp_pui","hosp_noncovid","hosp_beds","ior","icu_pui","icu_covid","icu_noncovid","icu_beds","vor","vent_covid","vent_pui","vent_noncovid","vent_beds","por","pkrc_covid","pkrc_pui","pkrc_noncovid","pkrc_beds","beds_icu_total","vent","vent_port"
"1",2020-03-24,"Malaysia",8.88626201367117,1019,353,357,19457,44.9908925318761,6,69,172,549,6.41627543035994,36,5,0,639,NA,NA,NA,NA,NA,NA,NA,NA
"2",2020-03-25,"Malaysia",10.4279314073845,1229,547,249,19419,43.2384341637011,3,60,180,562,7.79816513761468,50,1,0,654,NA,NA,NA,NA,NA,NA,NA,NA
"3",2020-03-26,"Malaysia",46.8028735925001,1347,432,7407,19627,47.153024911032,14,71,180,562,8.86850152905199,49,9,0,654,NA,NA,NA,NA,NA,NA,NA,NA
"4",2020-03-27,"Malaysia",48.8765476129821,1422,480,7691,19627,47.6868327402135,14,75,179,562,9.63302752293578,52,11,0,654,NA,NA,NA,NA,NA,NA,NA,NA
"5",2020-03-28,"Malaysia",49.1665877450516,1491,568,8324,21118,51.0869565217391,15,94,220,644,10,65,11,0,760,14.1339001062699,194,64,8,1882,NA,NA,NA
"6",2020-03-29,"Malaysia",48.8872052277678,1540,568,8216,21118,49.3788819875776,12,97,209,644,8.94736842105263,60,8,0,760,16.6312433581296,252,59,2,1882,NA,NA,NA
"7",2020-03-30,"Malaysia",49.1476465574392,1608,514,8257,21118,48.7577639751553,12,90,212,644,8.15789473684211,54,8,0,760,20.510095642933,278,98,10,1882,NA,NA,NA
"8",2020-03-31,"Malaysia",51.8506216190567,1589,508,8830,21074,50.6153846153846,11,93,225,650,8.28947368421053,56,7,0,760,24.5812584880036,471,58,14,2209,NA,NA,NA
"9",2020-04-01,"Malaysia",47.8936464088398,1705,501,8890,23168,51.8461538461538,8,96,233,650,8.28947368421053,57,6,0,760,27.0004470272687,512,70,22,2237,NA,NA,NA
"10",2020-04-02,"Malaysia",41.166099471073,1672,467,7901,24389,50.1538461538461,7,93,226,650,7.76315789473684,55,4,0,760,27.4526678141136,525,30,83,2324,NA,NA,NA
"11",2020-04-03,"Malaysia",43.9904734529627,1721,483,8509,24353,49.5384615384615,14,87,221,650,7.63157894736842,49,9,0,760,24.8709122203098,474,32,72,2324,NA,NA,NA
"12",2020-04-04,"Malaysia",43.7779693722544,1730,476,8457,24357,50.9230769230769,7,87,237,650,7.23684210526316,50,5,0,760,27.6748104465038,555,27,75,2374,NA,NA,NA
"13",2020-04-05,"Malaysia",43.3715153754567,1686,479,8399,24357,52.3076923076923,12,84,244,650,5.99334073251942,44,10,0,901,26.8862025844102,531,47,67,2399,NA,NA,NA
"14",2020-04-06,"Malaysia",43.4372049102927,1682,443,8455,24357,52.0710059171598,9,84,259,676,5.80503833515882,47,6,0,913,26.8036311514572,464,36,61,2093,NA,NA,NA
"15",2020-04-07,"Malaysia",44.0982058545798,1581,447,8713,24357,49.5562130177515,7,79,249,676,5.48977395048439,46,5,0,929,25.8337247534054,500,50,0,2129,NA,NA,NA
"16",2020-04-08,"Malaysia",42.6319872606264,1494,443,8504,24491,48.5207100591716,8,77,243,676,4.84391819160388,39,6,0,929,25.5580357142857,568,44,75,2688,NA,NA,NA
"17",2020-04-09,"Malaysia",44.3546081914329,1458,468,8936,24489,50,7,79,253,678,4.26164519326065,38,5,0,1009,28.0058118416273,618,80,73,2753,NA,NA,NA
"18",2020-04-10,"Malaysia",42.5783004614317,1302,435,8690,24489,49.2625368731563,7,80,247,678,3.74384236453202,35,3,0,1015,27.9927667269439,621,84,69,2765,NA,NA,NA
"19",2020-04-11,"Malaysia",43.0438155906734,1372,438,8731,24489,49.1150442477876,5,66,262,678,3.34975369458128,30,4,0,1015,30.6571936056838,719,80,64,2815,NA,NA,NA
"20",2020-04-12,"Malaysia",43.5419984482829,1362,428,8873,24489,46.9026548672566,4,62,252,678,3.34975369458128,33,1,0,1015,32.3713490959666,788,75,68,2876,NA,NA,NA
"21",2020-04-13,"Malaysia",43.0642329209033,1311,433,8802,24489,46.3126843657817,3,61,250,678,2.63414634146341,26,1,0,1025,31.5368567454798,750,93,64,2876,NA,NA,NA
"22",2020-04-14,"Malaysia",43.9176773245131,1260,460,9035,24489,46.4601769911504,3,54,258,678,2.34146341463415,23,1,0,1025,32.1218414676359,749,114,65,2889,NA,NA,NA
"23",2020-04-15,"Malaysia",44.8446241169505,1243,407,9332,24489,44.9852507374631,3,52,250,678,2.34146341463415,22,2,0,1025,30.6518723994452,748,73,63,2884,NA,NA,NA
"24",2020-04-16,"Malaysia",45.0487974192495,1226,433,9373,24489,47.787610619469,4,48,272,678,2.82926829268293,25,4,0,1025,30.8143547273982,725,76,92,2898,NA,NA,NA
"25",2020-04-17,"Malaysia",45.2243864592266,1225,451,9399,24489,51.1217948717949,3,48,268,624,2.61121856866538,24,3,0,1034,31.3179347826087,720,76,126,2944,NA,NA,NA
"26",2020-04-18,"Malaysia",42.7375556372249,1194,425,8847,24489,51.6025641025641,2,49,271,624,2.61121856866538,25,2,0,1034,31.148097826087,719,60,138,2944,NA,NA,NA
"27",2020-04-19,"Malaysia",43.4889133896852,1183,425,9042,24489,49.8525073746313,4,47,287,678,2.99806576402321,27,4,0,1034,28.3018867924528,672,53,115,2968,NA,NA,NA
"28",2020-04-20,"Malaysia",44.8242067867206,1142,362,9473,24489,51.0324483775811,4,47,295,678,3.07692307692308,28,4,0,1040,26.4337508239947,641,48,113,3034,NA,NA,NA
"29",2020-04-21,"Malaysia",45.5102290824452,1091,364,9690,24489,49.2795389048991,6,45,291,694,3.17307692307692,27,6,0,1040,22.2374931280924,629,46,134,3638,NA,NA,NA
"30",2020-04-22,"Malaysia",46.5229286618482,1044,381,9968,24489,50.2849002849003,7,42,304,702,2.98076923076923,25,6,0,1040,21.1654755360088,614,46,110,3638,NA,NA,NA
"31",2020-04-23,"Malaysia",46.0329127363306,998,385,9890,24489,48.1481481481481,7,41,290,702,2.21153846153846,20,3,0,1040,20.2858713578889,592,49,97,3638,NA,NA,NA
"32",2020-04-24,"Malaysia",45.6858181224223,984,364,9840,24489,47.5783475783476,7,40,287,702,2.11538461538462,20,2,0,1040,20.0109950522265,566,48,114,3638,NA,NA,NA
"33",2020-04-25,"Malaysia",43.8727591980073,965,357,9422,24489,49.5726495726496,6,38,304,702,2.30326295585413,19,5,0,1042,19.442292796282,597,35,121,3873,NA,NA,NA
"34",2020-04-26,"Malaysia",43.5910000408347,944,330,9401,24489,47.7207977207977,5,38,292,702,2.01535508637236,16,5,0,1042,18.7967983475342,539,66,123,3873,NA,NA,NA
"35",2020-04-27,"Malaysia",44.4893625709502,912,308,9675,24489,48.005698005698,5,39,293,702,2.18423551756885,18,5,0,1053,18.0996643428867,550,30,121,3873,NA,NA,NA
"36",2020-04-28,"Malaysia",46.0655804646984,865,316,10100,24489,49.7150997150997,5,36,308,702,2.36742424242424,21,4,0,1056,18.1771236767364,566,27,111,3873,NA,NA,NA
"37",2020-04-29,"Malaysia",45.8164890358937,782,271,10167,24489,50.7122507122507,5,36,315,702,2.27272727272727,19,5,0,1056,18.1771236767364,563,29,112,3873,NA,NA,NA
"38",2020-04-30,"Malaysia",45.4367266936175,758,272,10097,24489,49.5726495726496,4,29,315,702,1.88857412653447,16,4,0,1059,17.996385231087,570,17,110,3873,NA,NA,NA
"39",2020-05-01,"Malaysia",44.5506145616399,732,270,9908,24489,48.005698005698,5,26,306,702,1.69971671388102,13,5,0,1059,18.2193548387097,560,44,102,3875,NA,NA,NA
"40",2020-05-02,"Malaysia",44.6200334844216,747,237,9943,24489,47.7207977207977,5,26,304,702,1.98300283286119,15,5,1,1059,18.8903225806452,572,46,114,3875,NA,NA,NA
"41",2020-05-03,"Malaysia",44.4362775123525,787,230,9865,24489,49.2877492877493,0,26,320,702,1.41643059490085,15,0,0,1059,18.5032258064516,568,33,116,3875,NA,NA,NA
"42",2020-05-04,"Malaysia",46.3350892237331,772,210,10365,24489,47.5728155339806,0,25,318,721,1.21381886087768,13,0,0,1071,19.1621411947246,576,25,140,3867,NA,NA,NA
"43",2020-05-05,"Malaysia",47.1844501612969,696,209,10650,24489,45.4923717059639,0,20,308,721,0.840336134453782,9,0,0,1071,18.141935483871,551,10,142,3875,NA,NA,NA
"44",2020-05-06,"Malaysia",48.009138381201,648,213,10907,24512,48.9597780859917,0,17,336,721,0.651162790697674,7,0,0,1075,17.9870967741935,545,12,140,3875,NA,NA,NA
"45",2020-05-07,"Malaysia",47.4578342703495,623,188,10838,24546,49.6532593619972,0,17,341,721,0.744186046511628,8,0,0,1075,18.0129032258065,539,15,144,3875,NA,NA,NA
"46",2020-05-08,"Malaysia",47.1604334718488,617,179,10780,24546,48.6823855755895,3,17,331,721,0.925069380203515,8,2,0,1081,17.6516129032258,534,12,138,3875,NA,NA,NA
"47",2020-05-09,"Malaysia",45.3801026643852,600,152,10387,24546,50.2080443828017,5,16,341,721,0.832562442183164,6,3,0,1081,16.7483870967742,514,13,122,3875,NA,NA,NA
"48",2020-05-10,"Malaysia",45.9260164588935,601,150,10522,24546,49.7919556171983,3,14,342,721,0.740055504162812,6,2,0,1081,15.8709677419355,473,18,124,3875,NA,NA,NA
"49",2020-05-11,"Malaysia",46.6104456937994,621,144,10676,24546,49.0984743411928,2,18,334,721,0.647548566142461,6,1,0,1081,14.7870967741935,420,34,119,3875,NA,NA,NA
"50",2020-05-12,"Malaysia",48.1096716369266,609,124,11076,24546,48.2662968099861,4,16,328,721,0.740055504162812,4,4,0,1081,14.3741935483871,405,34,118,3875,NA,NA,NA
"51",2020-05-13,"Malaysia",49.8614845596024,548,130,11561,24546,48.9597780859917,2,15,336,721,0.555041628122109,4,2,0,1081,14.2967741935484,410,27,117,3875,NA,NA,NA
"52",2020-05-14,"Malaysia",50.0040739835411,541,140,11593,24546,48.9597780859917,4,13,336,721,0.832562442183164,5,4,0,1081,13.6516129032258,382,29,118,3875,NA,NA,NA
"53",2020-05-15,"Malaysia",48.8633585920313,533,163,11298,24546,49.0984743411928,3,12,339,721,0.740055504162812,5,2,1,1081,12.7741935483871,369,13,113,3875,NA,NA,NA
"54",2020-05-16,"Malaysia",44.6182677421983,485,160,10307,24546,44,3,13,347,825,0.664451827242525,5,1,2,1204,12.9548387096774,368,14,120,3875,NA,NA,NA
"55",2020-05-17,"Malaysia",47.360058665363,475,165,10985,24546,43.6363636363636,3,17,340,825,0.996677740863787,8,2,2,1204,12.5935483870968,341,19,128,3875,NA,NA,NA
"56",2020-05-18,"Malaysia",44.1823515032999,457,169,10219,24546,47.1316085489314,3,23,393,889,1.69491525423729,6,3,12,1239,13.3816036470904,360,19,120,3729,NA,NA,NA
"57",2020-05-19,"Malaysia",45.8526847551536,445,154,10656,24546,47.9190101237345,4,15,407,889,0.726392251815981,6,3,0,1239,13.8374899436846,373,20,123,3729,NA,NA,NA
"58",2020-05-20,"Malaysia",50.0040739835411,447,146,11681,24546,44.8818897637795,1,11,387,889,0.726392251815981,8,1,0,1239,13.5425046929472,353,18,134,3729,NA,NA,NA
"59",2020-05-21,"Malaysia",49.388902468834,413,154,11556,24546,45.1068616422947,1,10,390,889,1.12994350282486,7,1,6,1239,12.4698310539019,309,15,141,3729,NA,NA,NA
"60",2020-05-22,"Malaysia",41.0739020614357,408,161,9513,24546,46.0067491563555,3,10,396,889,0.968523002421308,5,2,5,1239,12.6575489407348,319,17,136,3729,NA,NA,NA
"61",2020-05-23,"Malaysia",42.8623808359814,379,177,9965,24546,46.2317210348706,2,10,399,889,0.726392251815981,4,1,4,1239,12.2044033704811,339,20,90,3679,NA,NA,NA
"62",2020-05-24,"Malaysia",36.1688258779435,389,150,8339,24546,45.5568053993251,1,10,394,889,0.645682001614205,4,0,4,1239,12.8839358521337,363,19,92,3679,NA,NA,NA
"63",2020-05-25,"Malaysia",39.7905972459871,404,154,9209,24546,46.119235095613,1,10,399,889,0.645682001614205,4,0,4,1239,13.481924435988,380,19,97,3679,NA,NA,NA
"64",2020-05-26,"Malaysia",42.3001711073087,414,145,9824,24546,46.119235095613,1,10,399,889,0.645682001614205,5,1,2,1239,15.3030714868171,441,19,103,3679,NA,NA,NA
"65",2020-05-27,"Malaysia",45.1193677177544,393,137,10545,24546,43.4195725534308,0,10,376,889,0.726392251815981,4,0,5,1239,20.0597988583854,610,28,100,3679,NA,NA,NA
"66",2020-05-28,"Malaysia",47.9670822129879,300,178,11296,24546,45.1068616422947,0,10,391,889,0.564971751412429,4,0,3,1239,20.2500679532482,620,23,102,3679,NA,NA,NA
"67",2020-05-29,"Malaysia",48.9774301311823,265,227,11530,24546,45.4443194600675,0,10,394,889,0.564971751412429,2,0,5,1239,20.7665126393042,630,24,110,3679,NA,NA,NA
"68",2020-05-30,"Malaysia",48.0811537521388,325,222,11255,24546,46.3442069741282,0,10,402,889,0.564971751412429,1,0,6,1239,20.4131557488448,615,20,116,3679,NA,NA,NA
"69",2020-05-31,"Malaysia",46.8548847062658,310,174,11017,24546,46.0067491563555,0,10,399,889,0.807102502017756,2,0,8,1239,20.5490622451753,627,17,112,3679,NA,NA,NA
"70",2020-06-01,"Malaysia",49.6292674977593,337,144,11701,24546,46.681664791901,2,9,404,889,0.887812752219532,2,1,8,1239,21.2829573253602,677,13,93,3679,NA,NA,NA
"71",2020-06-02,"Malaysia",51.7395909720525,320,143,12237,24546,48.4814398200225,2,8,421,889,0.887812752219532,2,2,7,1239,20.4225352112676,646,17,91,3692,NA,NA,NA
"72",2020-06-03,"Malaysia",53.2754827670496,282,119,12676,24546,50.3937007874016,2,8,438,889,1.04923325262308,3,1,9,1239,20.6933911159263,647,25,92,3692,NA,NA,NA
"73",2020-06-04,"Malaysia",54.3265705206551,303,104,12928,24546,48.3689538807649,2,8,420,889,0.887812752219532,2,0,9,1239,20.5850487540628,621,23,116,3692,NA,NA,NA
"74",2020-06-05,"Malaysia",53.5443656807627,322,120,12701,24546,50.6186726659168,0,7,443,889,0.968523002421308,2,0,10,1239,25.3657262277952,832,24,115,3828,NA,NA,NA
"75",2020-06-06,"Malaysia",51.3851544039762,314,117,12182,24546,50.0562429696288,2,7,436,889,1.12994350282486,1,2,11,1239,25.0261233019854,834,18,106,3828,NA,NA,NA
"76",2020-06-07,"Malaysia",50.807906824147,312,119,11958,24384,49.1563554555681,1,7,429,889,0.807102502017756,1,1,8,1239,24.9738766980146,843,9,104,3828,NA,NA,NA
"77",2020-06-08,"Malaysia",50.7750984251969,315,91,11975,24384,48.9313835770529,0,6,429,889,0.564971751412429,1,0,6,1239,16.5076335877863,575,10,107,4192,NA,NA,NA
"78",2020-06-09,"Malaysia",53.387467191601,309,89,12620,24384,48.7064116985377,0,6,427,889,0.807102502017756,1,0,9,1239,15.8158396946565,557,9,97,4192,NA,NA,NA
"79",2020-06-10,"Malaysia",55.3313648293963,256,101,13135,24384,49.718785151856,0,5,437,889,0.0807102502017756,0,0,1,1239,15.6488549618321,551,9,96,4192,NA,NA,NA
"80",2020-06-11,"Malaysia",55.5897309711286,226,86,13243,24384,49.0438695163105,0,5,431,889,0,0,0,0,1239,15.625,555,7,93,4192,NA,NA,NA
"81",2020-06-12,"Malaysia",54.4988517060367,214,67,13008,24384,50.3937007874016,0,4,444,889,0,0,0,0,1331,14.6708015267176,506,7,102,4192,NA,NA,NA
"82",2020-06-13,"Malaysia",51.5994094488189,211,93,12278,24384,50.8436445444319,0,4,448,889,0.150262960180316,0,0,2,1331,13.3110687022901,453,5,100,4192,NA,NA,NA
"83",2020-06-14,"Malaysia",52.0669291338583,222,120,12354,24384,50.7311586051744,1,4,446,889,0.150262960180316,0,1,1,1331,12.4761450381679,424,6,93,4192,NA,NA,NA
"84",2020-06-15,"Malaysia",53.563812335958,227,116,12718,24384,51.8560179977503,0,4,457,889,0.150262960180316,0,0,2,1331,17.0120320855615,406,6,97,2992,NA,NA,NA
"85",2020-06-16,"Malaysia",55.0894028871391,240,132,13061,24384,52.6434195725534,0,4,464,889,0.0751314800901578,0,0,1,1331,7.2192513368984,110,4,102,2992,NA,NA,NA
"86",2020-06-17,"Malaysia",56.2004843807725,227,138,13326,24361,53.9932508436445,0,4,476,889,0.300525920360631,0,0,4,1331,7.25267379679144,98,11,108,2992,NA,NA,NA
"87",2020-06-18,"Malaysia",57.0173638192192,217,119,13554,24361,52.6434195725534,1,4,463,889,0.300525920360631,0,1,3,1331,6.45053475935829,74,9,110,2992,NA,NA,NA
"88",2020-06-19,"Malaysia",56.6050198150594,208,115,13389,24224,53.4308211473566,0,3,472,889,0,0,0,0,1331,5.84893048128342,55,7,113,2992,NA,NA,NA
"89",2020-06-20,"Malaysia",54.6730515191546,197,97,12950,24224,54.3307086614173,0,3,480,889,0,0,0,0,1331,5.4144385026738,48,8,106,2992,NA,NA,NA
"90",2020-06-21,"Malaysia",53.9382430647292,191,106,12769,24224,53.5433070866142,0,3,473,889,0,0,0,0,1331,5.78208556149733,62,8,103,2992,NA,NA,NA
"91",2020-06-22,"Malaysia",55.5069352708058,195,92,13159,24224,53.2058492688414,1,2,470,889,0.0751314800901578,0,1,0,1331,5.48128342245989,58,2,104,2992,NA,NA,NA
"92",2020-06-23,"Malaysia",57.4265191545575,187,93,13631,24224,54.4431946006749,0,3,481,889,0,0,0,0,1331,5.78208556149733,50,2,121,2992,NA,NA,NA
