"","state","date","cumul_partial","cumul_full","total","pop","perc_vax1","perc_vax2","perc_reg","perc_pop","diff_vax2","diff_vax1","diff_reg","diff_pop"
"1","Johor","2021-02-24",0,0,NA,3781000,0,0,NA,1,0,0,NA,NA
"2","Johor","2021-02-25",79,0,NA,3781000,2.08939434012166e-05,0,NA,1,0,2.08939434012166e-05,NA,NA
"3","Johor","2021-02-26",79,0,NA,3781000,2.08939434012166e-05,0,NA,1,0,2.08939434012166e-05,NA,NA
"4","Johor","2021-02-27",81,0,NA,3781000,2.14229039936525e-05,0,NA,1,0,2.14229039936525e-05,NA,NA
"5","Johor","2021-02-28",898,0,NA,3781000,0.000237503306003703,0,NA,1,0,0.000237503306003703,NA,NA
"6","Johor","2021-03-01",3040,0,NA,3781000,0.000804020100502513,0,NA,1,0,0.000804020100502513,NA,NA
"7","Johor","2021-03-02",4526,0,NA,3781000,0.00119703782068236,0,NA,1,0,0.00119703782068236,NA,NA
"8","Johor","2021-03-03",6574,1,NA,3781000,0.00173869346733668,2.64480296217932e-07,NA,1,2.64480296217932e-07,0.00173842898704047,NA,NA
"9","Johor","2021-03-04",8535,4,NA,3781000,0.00225733932822005,1.05792118487173e-06,NA,1,1.05792118487173e-06,0.00225628140703518,NA,NA
"10","Johor","2021-03-05",8868,4,NA,3781000,0.00234541126686062,1.05792118487173e-06,NA,1,1.05792118487173e-06,0.00234435334567575,NA,NA
"11","Johor","2021-03-06",9586,4,NA,3781000,0.00253530811954509,1.05792118487173e-06,NA,1,1.05792118487173e-06,0.00253425019836022,NA,NA
"12","Johor","2021-03-07",10786,5,NA,3781000,0.00285268447500661,1.32240148108966e-06,NA,1,1.32240148108966e-06,0.00285136207352552,NA,NA
"13","Johor","2021-03-08",13806,5,NA,3781000,0.00365141496958477,1.32240148108966e-06,NA,1,1.32240148108966e-06,0.00365009256810368,NA,NA
"14","Johor","2021-03-09",15931,6,NA,3781000,0.00421343559904787,1.58688177730759e-06,NA,1,1.58688177730759e-06,0.00421184871727056,NA,NA
"15","Johor","2021-03-10",17562,7,NA,3781000,0.00464480296217932,1.85136207352552e-06,NA,1,1.85136207352552e-06,0.00464295160010579,NA,NA
"16","Johor","2021-03-11",19665,7,NA,3781000,0.00520100502512563,1.85136207352552e-06,NA,1,1.85136207352552e-06,0.0051991536630521,NA,NA
"17","Johor","2021-03-12",20383,7,NA,3781000,0.0053909018778101,1.85136207352552e-06,NA,1,1.85136207352552e-06,0.00538905051573658,NA,NA
"18","Johor","2021-03-13",21950,7,NA,3781000,0.0058053425019836,1.85136207352552e-06,NA,1,1.85136207352552e-06,0.00580349113991008,NA,NA
"19","Johor","2021-03-14",23087,7,NA,3781000,0.00610605659878339,1.85136207352552e-06,NA,1,1.85136207352552e-06,0.00610420523670986,NA,NA
"20","Johor","2021-03-15",24877,7,NA,3781000,0.00657947632901349,1.85136207352552e-06,NA,1,1.85136207352552e-06,0.00657762496693996,NA,NA
"21","Johor","2021-03-16",26311,8,NA,3781000,0.00695874107379,2.11584236974345e-06,NA,1,2.11584236974345e-06,0.00695662523142026,NA,NA
"22","Johor","2021-03-17",27167,43,NA,3781000,0.00718513620735255,1.13726527373711e-05,NA,1,1.13726527373711e-05,0.00717376355461518,NA,NA
"23","Johor","2021-03-18",28540,84,NA,3781000,0.00754826765405977,2.22163448823063e-05,NA,1,2.22163448823063e-05,0.00752605130917747,NA,NA
"24","Johor","2021-03-19",28558,84,NA,3781000,0.0075530282993917,2.22163448823063e-05,NA,1,2.22163448823063e-05,0.00753081195450939,NA,NA
"25","Johor","2021-03-20",29286,84,NA,3781000,0.00774556995503835,2.22163448823063e-05,NA,1,2.22163448823063e-05,0.00772335361015604,NA,NA
"26","Johor","2021-03-21",29949,819,NA,3781000,0.00792092039143084,0.000216609362602486,NA,1,0.000216609362602486,0.00770431102882835,NA,NA
"27","Johor","2021-03-22",30908,2619,NA,3781000,0.00817455699550384,0.000692673895794763,NA,1,0.000692673895794763,0.00748188309970907,NA,NA
"28","Johor","2021-03-23",31495,3281,NA,3781000,0.00832980692938376,0.000867759851891034,NA,1,0.000867759851891034,0.00746204707749273,NA,NA
"29","Johor","2021-03-24",32168,5660,NA,3781000,0.00850780216873843,0.00149695847659349,NA,1,0.00149695847659349,0.00701084369214494,NA,NA
"30","Johor","2021-03-25",33098,7929,NA,3781000,0.0087537688442211,0.00209706426871198,NA,1,0.00209706426871198,0.00665670457550912,NA,NA
"31","Johor","2021-03-26",33626,8328,NA,3781000,0.00889341444062417,0.00220259190690294,NA,1,0.00220259190690294,0.00669082253372124,NA,NA
"32","Johor","2021-03-27",34115,8987,NA,3781000,0.00902274530547474,0.00237688442211055,NA,1,0.00237688442211055,0.00664586088336419,NA,NA
"33","Johor","2021-03-28",35469,10112,NA,3781000,0.00938085162655382,0.00267442475535573,NA,1,0.00267442475535573,0.0067064268711981,NA,NA
"34","Johor","2021-03-29",36356,12591,NA,3781000,0.00961544564929913,0.00333007140967998,NA,1,0.00333007140967998,0.00628537423961915,NA,NA
"35","Johor","2021-03-30",36950,14943,NA,3781000,0.00977254694525258,0.00395212906638455,NA,1,0.00395212906638455,0.00582041787886802,NA,NA
"36","Johor","2021-03-31",37451,16401,NA,3781000,0.00990505157365776,0.0043377413382703,NA,1,0.0043377413382703,0.00556731023538746,NA,NA
"37","Johor","2021-04-01",39561,18593,NA,3781000,0.0104631049986776,0.00491748214758001,NA,1,0.00491748214758001,0.00554562285109759,NA,NA
"38","Johor","2021-04-02",40027,19316,NA,3781000,0.0105863528167152,0.00510870140174557,NA,1,0.00510870140174557,0.00547765141496958,NA,NA
"39","Johor","2021-04-03",40165,20855,NA,3781000,0.0106228510975932,0.00551573657762497,NA,1,0.00551573657762497,0.00510711451996826,NA,NA
"40","Johor","2021-04-04",42154,22011,NA,3781000,0.0111489024067707,0.0058214758000529,NA,1,0.0058214758000529,0.0053274266067178,NA,NA
"41","Johor","2021-04-05",43860,23498,NA,3781000,0.0116001057921185,0.00621475800052896,NA,1,0.00621475800052896,0.00538534779158953,NA,NA
"42","Johor","2021-04-06",45217,24995,NA,3781000,0.0119590055540862,0.0066106850039672,NA,1,0.0066106850039672,0.00534832055011902,NA,NA
"43","Johor","2021-04-07",47188,26004,NA,3781000,0.0124802962179318,0.0068775456228511,NA,1,0.0068775456228511,0.00560275059508067,NA,NA
"44","Johor","2021-04-08",49327,27147,NA,3781000,0.0130460195715419,0.00717984660142819,NA,1,0.00717984660142819,0.00586617297011373,NA,NA
"45","Johor","2021-04-09",49328,27151,NA,3781000,0.0130462840518381,0.00718090452261306,NA,1,0.00718090452261306,0.00586537952922507,NA,NA
"46","Johor","2021-04-10",49597,27543,NA,3781000,0.0131174292515208,0.00728458079873049,NA,1,0.00728458079873049,0.00583284845279027,NA,NA
"47","Johor","2021-04-11",52119,27670,NA,3781000,0.0137844485585824,0.00731816979635017,NA,1,0.00731816979635017,0.00646627876223221,NA,NA
"48","Johor","2021-04-12",56619,28196,NA,3781000,0.0149746098915631,0.0074572864321608,NA,1,0.0074572864321608,0.00751732345940227,NA,NA
"49","Johor","2021-04-13",56622,28238,NA,3781000,0.0149754033324517,0.00746839460460196,NA,1,0.00746839460460196,0.00750700872784978,NA,NA
"50","Johor","2021-04-14",59223,29456,NA,3781000,0.0156633165829146,0.0077905316053954,NA,1,0.0077905316053954,0.00787278497751918,NA,NA
"51","Johor","2021-04-15",62662,30624,NA,3781000,0.016572864321608,0.00809944459137794,NA,1,0.00809944459137794,0.0084734197302301,NA,NA
"52","Johor","2021-04-16",62662,30673,NA,3781000,0.016572864321608,0.00811240412589262,NA,1,0.00811240412589262,0.00846046019571542,NA,NA
"53","Johor","2021-04-17",64531,30681,NA,3781000,0.0170671779952394,0.00811451996826236,NA,1,0.00811451996826236,0.00895265802697699,NA,NA
"54","Johor","2021-04-18",66834,31935,NA,3781000,0.0176762761174293,0.00844617825971965,NA,1,0.00844617825971965,0.0092300978577096,NA,NA
"55","Johor","2021-04-19",70344,33246,NA,3781000,0.0186046019571542,0.00879291192806136,NA,1,0.00879291192806136,0.00981169002909283,NA,NA
"56","Johor","2021-04-20",71217,34030,NA,3781000,0.0188354932557524,0.00900026448029622,NA,1,0.00900026448029622,0.00983522877545623,NA,NA
"57","Johor","2021-04-21",71252,35063,NA,3781000,0.0188447500661201,0.00927347262628934,NA,1,0.00927347262628934,0.00957127743983073,NA,NA
"58","Johor","2021-04-22",71518,36769,NA,3781000,0.018915101824914,0.00972467601163713,NA,1,0.00972467601163713,0.00919042581327691,NA,NA
"59","Johor","2021-04-23",71518,37094,NA,3781000,0.018915101824914,0.00981063210790796,NA,1,0.00981063210790796,0.00910446971700608,NA,NA
"60","Johor","2021-04-24",71645,37209,NA,3781000,0.0189486908225337,0.00984104734197302,NA,1,0.00984104734197302,0.0091076434805607,NA,NA
"61","Johor","2021-04-25",72373,39562,NA,3781000,0.0191412324781804,0.0104633694789738,NA,1,0.0104633694789738,0.00867786299920656,NA,NA
"62","Johor","2021-04-26",74031,41724,NA,3781000,0.0195797408093097,0.011035175879397,NA,1,0.011035175879397,0.00854456492991272,NA,NA
"63","Johor","2021-04-27",75224,43459,NA,3781000,0.0198952658026977,0.0114940491933351,NA,1,0.0114940491933351,0.0084012166093626,NA,NA
"64","Johor","2021-04-28",76495,45518,NA,3781000,0.0202314202591907,0.0120386141232478,NA,1,0.0120386141232478,0.00819280613594287,NA,NA
"65","Johor","2021-04-29",78595,47045,NA,3781000,0.0207868288812483,0.0124424755355726,NA,1,0.0124424755355726,0.00834435334567575,NA,NA
"66","Johor","2021-04-30",78596,47349,NA,3781000,0.0207870933615446,0.0125228775456229,NA,1,0.0125228775456229,0.00826421581592171,NA,NA
"67","Johor","2021-05-01",78601,47349,NA,3781000,0.0207884157630257,0.0125228775456229,NA,1,0.0125228775456229,0.0082655382174028,NA,NA
"68","Johor","2021-05-02",82316,49650,NA,3781000,0.0217709600634753,0.0131314467072203,NA,1,0.0131314467072203,0.00863951335625496,NA,NA
"69","Johor","2021-05-03",84098,54124,NA,3781000,0.0222422639513356,0.0143147315524993,NA,1,0.0143147315524993,0.00792753239883629,NA,NA
"70","Johor","2021-05-04",85529,54768,NA,3781000,0.0226207352552235,0.0144850568632637,NA,1,0.0144850568632637,0.0081356783919598,NA,NA
"71","Johor","2021-05-05",86306,57852,NA,3781000,0.0228262364453848,0.0153007140967998,NA,1,0.0153007140967998,0.00752552234858503,NA,NA
"72","Johor","2021-05-06",90029,61028,NA,3781000,0.0238108965882042,0.0161407035175879,NA,1,0.0161407035175879,0.00767019307061624,NA,NA
"73","Johor","2021-05-07",90044,61029,NA,3781000,0.0238148637926474,0.0161409679978842,NA,1,0.0161409679978842,0.00767389579476329,NA,NA
"74","Johor","2021-05-08",90100,63081,NA,3781000,0.0238296746892357,0.0166836815657234,NA,1,0.0166836815657234,0.0071459931235123,NA,NA
"75","Johor","2021-05-09",94286,65506,NA,3781000,0.0249367892092039,0.0173250462840518,NA,1,0.0173250462840518,0.00761174292515208,NA,NA
"76","Johor","2021-05-10",97776,69005,NA,3781000,0.0258598254430045,0.0182504628405184,NA,1,0.0182504628405184,0.00760936260248611,NA,NA
"77","Johor","2021-05-11",99870,69194,NA,3781000,0.0264136471832848,0.0183004496165036,NA,1,0.0183004496165036,0.00811319756678127,NA,NA
"78","Johor","2021-05-12",100000,69210,NA,3781000,0.0264480296217932,0.0183046813012431,NA,1,0.0183046813012431,0.00814334832055012,NA,NA
"79","Johor","2021-05-13",100000,69210,NA,3781000,0.0264480296217932,0.0183046813012431,NA,1,0.0183046813012431,0.00814334832055012,NA,NA
"80","Johor","2021-05-14",100000,69210,NA,3781000,0.0264480296217932,0.0183046813012431,NA,1,0.0183046813012431,0.00814334832055012,NA,NA
"81","Johor","2021-05-15",100006,69211,NA,3781000,0.0264496165035705,0.0183049457815393,NA,1,0.0183049457815393,0.00814467072203121,NA,NA
"82","Johor","2021-05-16",100007,69214,NA,3781000,0.0264498809838667,0.0183057392224279,NA,1,0.0183057392224279,0.00814414176143877,NA,NA
"83","Johor","2021-05-17",104103,70130,NA,3781000,0.0275331922771754,0.0185480031737636,NA,1,0.0185480031737636,0.00898518910341179,NA,NA
"84","Johor","2021-05-18",109261,71401,NA,3781000,0.0288973816450674,0.0188841576302565,NA,1,0.0188841576302565,0.0100132240148109,NA,NA
"85","Johor","2021-05-19",115168,73126,NA,3781000,0.0304596667548268,0.0193403861412325,NA,1,0.0193403861412325,0.0111192806135943,NA,NA
"86","Johor","2021-05-20",119760,76382,NA,3781000,0.0316741602750595,0.0202015339857181,NA,1,0.0202015339857181,0.0114726262893414,NA,NA
"87","Johor","2021-05-21",120573,76397,NA,3781000,0.0318891827558847,0.0202055011901613,NA,1,0.0202055011901613,0.0116836815657234,NA,NA
"88","Johor","2021-05-22",128861,76417,NA,3781000,0.0340811954509389,0.0202107907960857,NA,1,0.0202107907960857,0.0138704046548532,NA,NA
"89","Johor","2021-05-23",132501,80100,NA,3781000,0.0350439037291722,0.0211848717270563,NA,1,0.0211848717270563,0.0138590320021158,NA,NA
"90","Johor","2021-05-24",138108,82063,NA,3781000,0.0365268447500661,0.0217040465485321,NA,1,0.0217040465485321,0.014822798201534,NA,NA
"91","Johor","2021-05-25",145510,83292,NA,3781000,0.0384845279026712,0.022029092832584,NA,1,0.022029092832584,0.0164554350700873,NA,NA
"92","Johor","2021-05-26",145806,83315,NA,3781000,0.0385628140703518,0.022035175879397,NA,1,0.022035175879397,0.0165276381909548,NA,NA
"93","Johor","2021-05-27",151824,87664,NA,3781000,0.0401544564929913,0.0231854006876488,NA,1,0.0231854006876488,0.0169690558053425,NA,NA
"94","Johor","2021-05-28",153761,87776,NA,3781000,0.0406667548267654,0.0232150224808252,NA,1,0.0232150224808252,0.0174517323459402,NA,NA
"95","Johor","2021-05-29",164039,87790,NA,3781000,0.0433850833112933,0.0232187252049722,NA,1,0.0232187252049722,0.0201663581063211,NA,NA
"96","Johor","2021-05-30",170225,91734,NA,3781000,0.0450211584236974,0.0242618354932558,NA,1,0.0242618354932558,0.0207593229304417,NA,NA
"97","Johor","2021-05-31",179036,95155,NA,3781000,0.0473514943136736,0.0251666225866173,NA,1,0.0251666225866173,0.0221848717270563,NA,NA
"98","Johor","2021-06-01",186875,97263,NA,3781000,0.049424755355726,0.0257241470510447,NA,1,0.0257241470510447,0.0237006083046813,NA,NA
"99","Johor","2021-06-02",196063,97442,NA,3781000,0.0518548003173764,0.0257714890240677,NA,1,0.0257714890240677,0.0260833112933086,NA,NA
"100","Johor","2021-06-03",203799,97456,NA,3781000,0.0539008198889183,0.0257751917482148,NA,1,0.0257751917482148,0.0281256281407035,NA,NA
"101","Johor","2021-06-04",205585,97456,NA,3781000,0.0543731816979635,0.0257751917482148,NA,1,0.0257751917482148,0.0285979899497487,NA,NA
"102","Johor","2021-06-05",216041,97726,NA,3781000,0.0571385876752182,0.0258466014281936,NA,1,0.0258466014281936,0.0312919862470246,NA,NA
"103","Johor","2021-06-06",226604,97879,NA,3781000,0.0599322930441682,0.0258870669135149,NA,1,0.0258870669135149,0.0340452261306533,NA,NA
"104","Johor","2021-06-07",229472,98447,NA,3781000,0.0606908225337212,0.0260372917217667,NA,1,0.0260372917217667,0.0346535308119545,NA,NA
"105","Johor","2021-06-08",239534,106653,NA,3781000,0.0633520232742661,0.0282076170325311,NA,1,0.0282076170325311,0.035144406241735,NA,NA
"106","Johor","2021-06-09",252113,112613,NA,3781000,0.0666789209203914,0.0297839195979899,NA,1,0.0297839195979899,0.0368950013224015,NA,NA
"107","Johor","2021-06-10",266394,117148,NA,3781000,0.0704559640306797,0.0309833377413383,NA,1,0.0309833377413383,0.0394726262893415,NA,NA
"108","Johor","2021-06-11",271680,117745,NA,3781000,0.0718540068764877,0.0311412324781804,NA,1,0.0311412324781804,0.0407127743983073,NA,NA
"109","Johor","2021-06-12",281957,126111,NA,3781000,0.0745720708807194,0.0333538746363396,NA,1,0.0333538746363396,0.0412181962443798,NA,NA
"110","Johor","2021-06-13",294665,129638,NA,3781000,0.0779330864850569,0.0342866966411002,NA,1,0.0342866966411002,0.0436463898439566,NA,NA
"111","Johor","2021-06-14",309787,135022,NA,3781000,0.0819325575244644,0.0357106585559376,NA,1,0.0357106585559376,0.0462218989685269,NA,NA
"112","Johor","2021-06-15",323083,142219,NA,3781000,0.085449087542978,0.037614123247818,NA,1,0.037614123247818,0.04783496429516,NA,NA
