"","date","state","variant_count","variant","status"
"1",2021-04-01,"Johor",0,"Beta B.1.351","voc"
"2",2021-04-01,"Selangor",0,"Alpha B.1.1.7","voc"
"3",2021-04-01,"Selangor",0,"Delta B.1.617.2","voc"
"4",2021-04-01,"Selangor",0,"Eta B.1.525","voi"
"5",2021-04-01,"Selangor",0,"Theta P.3","voi"
"6",2021-04-01,"Kedah",0,"Beta B.1.351","voc"
"7",2021-04-01,"Sarawak",0,"Alpha B.1.1.7","voc"
"8",2021-04-01,"Sarawak",0,"Delta B.1.617.2","voc"
"9",2021-04-01,"Sarawak",0,"Eta B.1.525","voi"
"10",2021-04-01,"Sarawak",0,"Theta P.3","voi"
"11",2021-04-01,"Kelantan",0,"Beta B.1.351","voc"
"12",2021-04-01,"Kelantan",0,"Alpha B.1.1.7","voc"
"13",2021-04-01,"Kelantan",0,"Delta B.1.617.2","voc"
"14",2021-04-01,"Kelantan",0,"Eta B.1.525","voi"
"15",2021-04-01,"Kelantan",0,"Theta P.3","voi"
"16",2021-04-01,"Malaysia",8,"Beta B.1.351","voc"
"17",2021-04-01,"W.P. Kuala Lumpur",0,"Alpha B.1.1.7","voc"
"18",2021-04-01,"W.P. Kuala Lumpur",0,"Delta B.1.617.2","voc"
"19",2021-04-01,"W.P. Kuala Lumpur",0,"Eta B.1.525","voi"
"20",2021-04-01,"W.P. Kuala Lumpur",0,"Theta P.3","voi"
"21",2021-04-01,"Negeri Sembilan",0,"Beta B.1.351","voc"
"22",2021-04-01,"Perak",0,"Alpha B.1.1.7","voc"
"23",2021-04-01,"Perak",0,"Delta B.1.617.2","voc"
"24",2021-04-01,"Perak",0,"Eta B.1.525","voi"
"25",2021-04-01,"Perak",0,"Theta P.3","voi"
"26",2021-04-01,"Perak",0,"Beta B.1.351","voc"
"27",2021-04-01,"Kedah",0,"Alpha B.1.1.7","voc"
"28",2021-04-01,"Kedah",0,"Delta B.1.617.2","voc"
"29",2021-04-01,"Kedah",0,"Eta B.1.525","voi"
"30",2021-04-01,"Kedah",0,"Theta P.3","voi"
"31",2021-04-01,"Perlis",0,"Beta B.1.351","voc"
"32",2021-04-01,"Pulau Pinang",0,"Alpha B.1.1.7","voc"
"33",2021-04-01,"Pulau Pinang",0,"Delta B.1.617.2","voc"
"34",2021-04-01,"Pulau Pinang",0,"Eta B.1.525","voi"
"35",2021-04-01,"Pulau Pinang",0,"Theta P.3","voi"
"36",2021-04-01,"Pulau Pinang",0,"Beta B.1.351","voc"
"37",2021-04-01,"Negeri Sembilan",0,"Alpha B.1.1.7","voc"
"38",2021-04-01,"Negeri Sembilan",0,"Delta B.1.617.2","voc"
"39",2021-04-01,"Negeri Sembilan",0,"Eta B.1.525","voi"
"40",2021-04-01,"Negeri Sembilan",0,"Theta P.3","voi"
