"","date","state","ratio"
"1",2021-04-01,"Johor",NA
"2",2021-04-01,"Kedah",NA
"3",2021-04-01,"Kelantan",NA
"4",2021-04-01,"Malaysia",NA
"5",2021-04-01,"Negeri Sembilan",NA
"6",2021-04-01,"Perak",NA
"7",2021-04-01,"Perlis",NA
"8",2021-04-01,"Pulau Pinang",NA
"9",2021-04-01,"Sabah",NA
"10",2021-04-01,"Sarawak",NA
"11",2021-04-01,"Selangor",NA
"12",2021-04-01,"W.P. Kuala Lumpur",NA
"13",2021-04-01,"W.P. Labuan",NA
"14",2021-04-14,"Johor",0
"15",2021-04-14,"Kedah",0
"16",2021-04-14,"Kelantan",0
"17",2021-04-14,"Malaysia",0.0469949349903399
"18",2021-04-14,"Negeri Sembilan",0
"19",2021-04-14,"Perak",0
"20",2021-04-14,"Perlis",0
"21",2021-04-14,"Pulau Pinang",0
"22",2021-04-14,"Sabah",0
"23",2021-04-14,"Sarawak",0
"24",2021-04-14,"Selangor",0.099147332936744
"25",2021-04-14,"W.P. Kuala Lumpur",0
"26",2021-04-14,"W.P. Labuan",0
"27",2021-05-02,"Johor",0
"28",2021-05-02,"Kedah",0
"29",2021-05-02,"Kelantan",0.139508928571429
"30",2021-05-02,"Malaysia",0.0670963544314092
"31",2021-05-02,"Negeri Sembilan",0
"32",2021-05-02,"Perak",0.99403578528827
"33",2021-05-02,"Perlis",0
"34",2021-05-02,"Pulau Pinang",0
"35",2021-05-02,"Sabah",0.0465116279069767
"36",2021-05-02,"Sarawak",0
"37",2021-05-02,"Selangor",0.022237046920169
"38",2021-05-02,"W.P. Kuala Lumpur",0
"39",2021-05-02,"W.P. Labuan",0
"40",2021-05-12,"Johor",0
"41",2021-05-12,"Kedah",0.0593119810201661
"42",2021-05-12,"Kelantan",0.20746887966805
"43",2021-05-12,"Malaysia",0.0314053912588328
"44",2021-05-12,"Negeri Sembilan",0.0809061488673139
"45",2021-05-12,"Perak",0
"46",2021-05-12,"Perlis",0
"47",2021-05-12,"Pulau Pinang",0
"48",2021-05-12,"Sabah",0
"49",2021-05-12,"Sarawak",0
"50",2021-05-12,"Selangor",0
"51",2021-05-12,"W.P. Kuala Lumpur",0
"52",2021-05-12,"W.P. Labuan",0
"53",2021-05-17,"Johor",0
"54",2021-05-17,"Kedah",0
"55",2021-05-17,"Kelantan",0
"56",2021-05-17,"Malaysia",0.0234367676010125
"57",2021-05-17,"Negeri Sembilan",0
"58",2021-05-17,"Perak",0
"59",2021-05-17,"Perlis",0
"60",2021-05-17,"Pulau Pinang",0
"61",2021-05-17,"Sabah",0
"62",2021-05-17,"Sarawak",0
"63",2021-05-17,"Selangor",0
"64",2021-05-17,"W.P. Kuala Lumpur",0
"65",2021-05-17,"W.P. Labuan",0
"66",2021-05-25,"Johor",0
"67",2021-05-25,"Kedah",0.169664065151001
"68",2021-05-25,"Kelantan",0
"69",2021-05-25,"Malaysia",0.0214287105760427
"70",2021-05-25,"Negeri Sembilan",0
"71",2021-05-25,"Perak",0
"72",2021-05-25,"Perlis",0
"73",2021-05-25,"Pulau Pinang",0
"74",2021-05-25,"Sabah",0
"75",2021-05-25,"Sarawak",0
"76",2021-05-25,"Selangor",0
"77",2021-05-25,"W.P. Kuala Lumpur",0
"78",2021-05-25,"W.P. Labuan",0
"79",2021-05-31,"Johor",0.0608272506082725
"80",2021-05-31,"Kedah",0.0347101700798334
"81",2021-05-31,"Kelantan",0.0229042601923958
"82",2021-05-31,"Malaysia",0.0882327623310665
"83",2021-05-31,"Negeri Sembilan",0.0349406009783368
"84",2021-05-31,"Perak",0
"85",2021-05-31,"Perlis",3.33333333333333
"86",2021-05-31,"Pulau Pinang",0.141043723554302
"87",2021-05-31,"Sabah",0
"88",2021-05-31,"Sarawak",0.499625281039221
"89",2021-05-31,"Selangor",0.178009037381898
"90",2021-05-31,"W.P. Kuala Lumpur",0.278975399442049
"91",2021-05-31,"W.P. Labuan",0.128700128700129
"92",2021-06-04,"Johor",0.274851122308749
"93",2021-06-04,"Kedah",0.0865800865800866
"94",2021-06-04,"Kelantan",0.282167042889391
"95",2021-06-04,"Malaysia",0.0617584917926215
"96",2021-06-04,"Melaka",NA
"97",2021-06-04,"Negeri Sembilan",0
"98",2021-06-04,"Pahang",NA
"99",2021-06-04,"Perak",0
"100",2021-06-04,"Perlis",0
"101",2021-06-04,"Pulau Pinang",0
"102",2021-06-04,"Sabah",0
"103",2021-06-04,"Sarawak",0
"104",2021-06-04,"Selangor",0
"105",2021-06-04,"Terengganu",NA
"106",2021-06-04,"W.P. Kuala Lumpur",0.0630914826498423
"107",2021-06-04,"W.P. Labuan",0.489396411092985
"108",2021-06-04,"W.P. Putrajaya",NA
"109",2021-06-20,"Johor",0.0403931600915578
"110",2021-06-20,"Kedah",0.124378109452736
"111",2021-06-20,"Kelantan",0.0254712175241977
"112",2021-06-20,"Malaysia",0.048238749651609
"113",2021-06-20,"Melaka",0.0689655172413793
"114",2021-06-20,"Negeri Sembilan",0.0200924251557163
"115",2021-06-20,"Pahang",0
"116",2021-06-20,"Perak",0.0726480203414457
"117",2021-06-20,"Perlis",4.8780487804878
"118",2021-06-20,"Pulau Pinang",0.0340715502555366
"119",2021-06-20,"Sabah",0.0708382526564345
"120",2021-06-20,"Sarawak",0
"121",2021-06-20,"Selangor",0.0358586517146955
"122",2021-06-20,"Terengganu",0.212464589235128
"123",2021-06-20,"W.P. Kuala Lumpur",0.0428082191780822
"124",2021-06-20,"W.P. Labuan",0.0755001887504719
"125",2021-06-20,"W.P. Putrajaya",2.59067357512953
"126",2021-06-24,"Johor",0
"127",2021-06-24,"Kedah",0.127551020408163
"128",2021-06-24,"Kelantan",0
"129",2021-06-24,"Malaysia",0.0293556436224864
"130",2021-06-24,"Melaka",0
"131",2021-06-24,"Negeri Sembilan",0.0403225806451613
"132",2021-06-24,"Pahang",0
"133",2021-06-24,"Perak",0
"134",2021-06-24,"Perlis",12.5
"135",2021-06-24,"Pulau Pinang",0.366300366300366
"136",2021-06-24,"Sabah",0.144717800289436
"137",2021-06-24,"Sarawak",0
"138",2021-06-24,"Selangor",0
"139",2021-06-24,"Terengganu",0
"140",2021-06-24,"W.P. Kuala Lumpur",0
"141",2021-06-24,"W.P. Labuan",0
"142",2021-06-24,"W.P. Putrajaya",0
"143",2021-07-01,"Johor",0.15625
"144",2021-07-01,"Kedah",0.13745704467354
"145",2021-07-01,"Kelantan",0
"146",2021-07-01,"Malaysia",0.0664767331433998
"147",2021-07-01,"Melaka",0.155682407887909
"148",2021-07-01,"Negeri Sembilan",0.0657174151150055
"149",2021-07-01,"Pahang",0.321802091713596
"150",2021-07-01,"Perak",0
"151",2021-07-01,"Perlis",0
"152",2021-07-01,"Pulau Pinang",0
"153",2021-07-01,"Sabah",0.27681660899654
"154",2021-07-01,"Sarawak",0
"155",2021-07-01,"Selangor",0.00605473480261564
"156",2021-07-01,"Terengganu",0.48780487804878
"157",2021-07-01,"W.P. Kuala Lumpur",0.0731261425959781
"158",2021-07-01,"W.P. Labuan",0.379266750948167
"159",2021-07-01,"W.P. Putrajaya",0
"160",2021-07-13,"Johor",0.0439850450846712
"161",2021-07-13,"Kedah",0
"162",2021-07-13,"Kelantan",0
"163",2021-07-13,"Malaysia",0.0783650574333381
"164",2021-07-13,"Melaka",0.154519701261911
"165",2021-07-13,"Negeri Sembilan",0
"166",2021-07-13,"Pahang",0.27378507871321
"167",2021-07-13,"Perak",0.0353356890459364
"168",2021-07-13,"Perlis",7.69230769230769
"169",2021-07-13,"Pulau Pinang",0.041407867494824
"170",2021-07-13,"Sabah",0.0315159155373464
"171",2021-07-13,"Sarawak",0.932791198277924
"172",2021-07-13,"Selangor",0.0135479937679229
"173",2021-07-13,"Terengganu",0.67476383265857
"174",2021-07-13,"W.P. Kuala Lumpur",0.00805023345677025
"175",2021-07-13,"W.P. Labuan",0.515995872033024
"176",2021-07-13,"W.P. Putrajaya",0
"177",2021-07-23,"Johor",0.0874253242022439
"178",2021-07-23,"Kedah",0.0434908669179472
"179",2021-07-23,"Kelantan",0.0413223140495868
"180",2021-07-23,"Malaysia",0.109200109200109
"181",2021-07-23,"Melaka",0
"182",2021-07-23,"Negeri Sembilan",0.01776514478593
"183",2021-07-23,"Pahang",0.211976682564918
"184",2021-07-23,"Perak",0.123685837971552
"185",2021-07-23,"Perlis",0
"186",2021-07-23,"Pulau Pinang",0.0508259212198221
"187",2021-07-23,"Sabah",0
"188",2021-07-23,"Sarawak",2.48530197755211
"189",2021-07-23,"Selangor",0.0251369063650238
"190",2021-07-23,"Terengganu",0
"191",2021-07-23,"W.P. Kuala Lumpur",0.0206725468577729
"192",2021-07-23,"W.P. Labuan",0
"193",2021-07-23,"W.P. Putrajaya",0
"194",2021-07-28,"Johor",0.0410088168956326
"195",2021-07-28,"Kedah",0.0373482726423903
"196",2021-07-28,"Kelantan",0
"197",2021-07-28,"Malaysia",0
"198",2021-07-28,"Melaka",0.116324156649864
"199",2021-07-28,"Negeri Sembilan",0
"200",2021-07-28,"Pahang",0
"201",2021-07-28,"Perak",0
"202",2021-07-28,"Perlis",4.16666666666667
"203",2021-07-28,"Pulau Pinang",0
"204",2021-07-28,"Sabah",0
"205",2021-07-28,"Sarawak",0
"206",2021-07-28,"Selangor",0.00276655784872462
"207",2021-07-28,"Terengganu",0.0628140703517588
"208",2021-07-28,"W.P. Kuala Lumpur",0
"209",2021-07-28,"W.P. Labuan",0
"210",2021-07-28,"W.P. Putrajaya",0
